ID,명칭,우편번호,관리자,전화번호,주소,위도,경도,개요,문의 및 안내,규모,판매품목,품목별 가격,장서는 날,개장일,영업시간,쉬는날,매장안내,주차시설,문화센터 바로가기,유모차 대여 여부,애완동물 동반 가능 여부,신용카드 가능 여부,화장실,상세정보
"1013076","남대문 종합상가","04529","남대문 상가","02-753-2805","서울특별시 중구 남대문시장4길 21 (남창동)","37.5592134153","126.9776518607","남대문 상가는 역사가 깊은 상가인만큼 수많은 품목을 자랑하기도 하지만 그보다는 다른 곳에서 구하기 힘든 물품들을 찾아볼 수 있다는 점에서 사람들에게 유명한 곳이다. 남대문 시장과 가까운 위치에 있어 전통적인 재래시장과 현대적인 쇼핑몰의 장점을 동시에 즐길 수 있다. 헤아리기도 힘든 수많은 품목의 상품들을 판매하고 있으며  특히 카메라 부분에서는 쉽사리 구하기 힘든 부품들을 구해볼 수 있고  전국의 각종 특산물들도 찾아볼 수 있다.","02-753-2805","지하 1층~지상 3층","잡화 / 가전 / 안경 등","","","1897년","※ 점포별 상이함","※ 점포별 상이함","","","","불가","","가능","있음",""
"1013366","부르뎅 아동복 (Burdeng)","04529","부르뎅아동복","02-755-5737","서울특별시 중구 남대문시장8길 14 ","37.5599161253","126.9784156601","부르뎅 아동복 상가는 각종 성인의류  잡화 매장과 아동용품 전문매장으로 그중 아동용품전문상가로 유명하다. 우리나라 전국의 거의 모든 아동용품의 유통지이고  지방 소매상들의 새벽시장이다. 부르뎅 아동복은 아이들의 성장과 변화에 맞춰 다양한 사이즈와 스타일을 제공하며  다양하고 좋은 품질의 아동용품을 구입할 수 있는 곳이다. 유아용품부터 아동용품까지 각종 종류의 용품들을 도매  또는 소매로 구입할 수 있다.","02-755-5737","지상 3층","아동복","","","1897년","- 주간 09:30~17:00<br>- 야간 22:00~05:00","- 주간 매주 일요일<br>- 야간 매주 금요일~토요일","","불가능","","불가","","가능","",""
"1013394","청자 수입상가","04529","청자수입상가","","서울특별시 중구 남대문시장4길 29 (남창동)","37.5588356763","126.9773491223","청자수입상가에서는 국내에서는 쉽게 볼 수 없는 국외의 주방용품들과 생활잡화  의류 잡화들을 판매하는 매장들로 구성되어 있다. 지하에서는 주방용품들과 여성 의류  액세서리 등을 만날 수 있고  1층에서는 아동복과 속옷 생활 잡화들을 쇼핑할 수 있다. 쇼핑 후 2층과 3층에 마련된 휴게실과 커피숍 등에서 쇼핑의 피로를 풀 수도 있고  도심 속에서 여유를 즐겨 볼 수도 있다.","","지하 1층~지상 3층","수입상품","","","1897년","※ 점포별 상이함","※ 점포별 상이함","","불가능","","불가","","가능","있음","구입방법안내:도 소매 구입가능 <br />
전화이용 택배구입 가능 <br />
직접 방문 구입 가능
장애인 편의시설:장애인 안내시설
"
"1013415","퀸프라자","04529","퀸프라자","02-775-8400","서울특별시 중구 남대문시장6길 29 ","37.5590467765","126.9781046023","퀸프라자는 모든 연령대의 남녀노소 누구나 취향에 맞는 의류를 구입하기 좋은 곳이다. 그리고 다양한 잡화들도 많이 있어 구경하는 재미가 있다. 수많은 매장들로 이루어져 있는 퀸프라자에는 가족단위로 쇼핑을 즐기는 관광객들이 많다. 더욱이 3층에 위치한 명품점에서는 각종 명품 의류와 액세서리 등을 만나 볼 수 있다.","02-753-2805","지상 3층","의류","","","1897년","점포별 상이","연중무휴","[1층] 여성복정장, 자켓, 코트, 한복, 니트정장, 바지, 스커트, 구두, 브라우스 <br />
[2층] 란제리, 액세서리, 핸드백, 구두, 브라우스, 가죽옷, 자켓, 코트, 소품 <br />
[3층] 밴드핀, 모자, 브로치, 헤어집게 , 아동액세서리","불가능","","불가","","가능","있음","장애인 편의시설:장애인 안내시설
구입방법안내:도 소매 구입가능 <br />
전화이용 택배구입 가능 <br />
직접 방문 구입 가능
"
"2902442","롯데백화점 본점","04533","","","서울특별시 중구 남대문로 81 ","37.5647822864","126.9817485525","-","","","가구 및 홈데코,가죽 제품 및 가방,기념품점,기타 패션 및 의류,남성의류,란제리(속옷),보석(장신구),스포츠 용품 및 의류,시계,식료품,신발,아동의류,악세서리,안경,여성의류,전자제품,향수 및 화장품","","월~일요일","","10:30-20:00","명절","환급서비스 제공방식 : 즉시+사후","가능","","","","가능","완비",""
"2903835","서울공예사","03149","","","서울특별시 종로구 인사동길 27-1 1층(인사동4거리) ","37.5731758308","126.9859645973","-","02-734-6622","","기념품점,기타 소매","","월~일요일","","10:00~20:00","명절","환급서비스 제공방식 : 사후","불가능","","","","가능","",""
"2911521","자라 롯데 서울역점","04301","","","서울특별시 용산구 청파로 378 ","37.5532806211","126.9692583497","-","","","남성의류,아동의류,여성의류","","월~일요일","","10:00-22:00","명절","환급서비스 제공방식 : 사후","가능","","","","가능","완비",":
:
"
"1013527","광장시장 한복매장","03195","","","서울특별시 종로구 창경궁로 88 (예지동) ","37.5702347233","126.9980663554","광장시장의 한복매장은 전통 한복을 전문으로 취급하는 곳이다. 이곳은 다양한 디자인의 한복을 제공하여 고객의 취향에 맞는 선택을 가능하게 한다. 맞춤형 한복부터 트렌디한 생활 한복까지 다양한 디자인과 색상의 한복을 만나볼 수 있다. 품질 좋은 원단과 정성스러운 손길로 완성된 한복을 합리적인 가격에 제공한다. 또한  맞춤 제작 서비스도 있어 고객의 취향에 따라 개성을 담은 한복을 제작할 수 있다. 오랜 전통을 자랑하는 장인들의 기술과 개성이 살아 있는 디자인으로 외국인 관광객과 젊은 세대 모두에게 큰 인기를 끌고 있는 곳이다.","광장시장 상인총연합회 02-2272-0967","","한복 / 비단원단 등","","","1904년","09:00~18:00<br>※ 점포 별로 상이함","연중무휴<br>※ 점포 별로 상이함","","가능","","불가","","가능","있음",""
"1030777","노스비치 (North Beach)","04350","","","서울특별시 용산구 이태원로 171 ","37.5346221062","126.9931372569","1987년 이태원 매장 개점 후 가죽 브랜드로써는 처음으로 백화점 매장을 오픈했을 정도로 꾸준히 관심받고 있는 매장이다. 이미 여러 차례 외국인 전용매장으로 잡지나 방송매체에서 소개되었으며 이태원의 대표적인 가죽 상품 매장으로 손꼽히고 있다. 특히 여성 가죽  모피 제품이 각광받고 있다.","02-793-6098","지상 1, 2층<br>
면적 825㎡"","가죽제품","","","1987년 3월","11:00~20:00","연중무휴","1층 여성 전용 가죽제품<BR />
2층 남성 의류","불가능","","불가","","가능","있음","입점브랜드:North beach
구입방법안내:인터넷 구입 및 방문구매
"
"1113581","맥스타일 (maxtyle)","04567","맥스타일","02-2234-0981","서울특별시 중구 마장로 3 ","37.5688045577","127.0105235943","맥스타일(maxtyle)은 과거 흥인·덕운 시장을 리모델링한 지하 7층  지상 8층 규모의 전문 패션몰이다. maxtyle은 ‘maximum style’의 줄임말로써 고객에게 최대의 패션 만족과 가치를 제공하고 패션과 문화를 창조하며 선도하는 감성 문화의 리더가 되는 복합적 문화공간을 의미한다. 청계천과 동대문디자인플라자&파크(DDP)  동대문 도매·소매시장이 교차하는 패션의 메카 동대문에 위치하고 있으며  총 10개 층의 판매시설은 의류 및 패션잡화  생활용품 등 각 층마다 각기 다른 콘셉트를 가진 10개의 쇼핑몰로 구성되어 있다. 주변에는 서울시의 랜드마크인 동대문디자인플라자&파크(DDP)와 청계천 등 휴식  역사  문화  쇼핑공간이 한데 어우러져 있다.","","건축연면적 49,938.92㎡ (지상 18층/지하 7층)","의류ㆍ패션잡화","","","2010년 10월 15일","점포별 상이","점포별 상이","18층~9층 : 사무시설(오피스텔)<br />
8층 : 푸드코트<br />
7층 : 멀티편집매장<br />
6층 : 잡화(가방,구두,벨트)<br />
5층 : 패션잡화(안경,악세서리류)<br />
4층 : 아동<br />
3층 : 남성의류<br />
2층 : 여성의류-트렌드<br />
1층 : 여성정장-니트류<br />
지하 1층 : 여성의류-미시<br />
지하 2층 : 생활용품, 수입명품, 스포츠","가능(245대)","","없음","","가능","화장실 완비",""
