명칭,주소,위도,경도,개요,영업시간,쉬는날,상세정보,카테고리
남대문 종합상가,서울특별시 중구 남대문시장4길 21 (남창동),37.5592134153,126.9776518607,남대문 상가는 역사가 깊은 상가인만큼 수많은 품목을 자랑하기도 하지만 그보다는 다른 곳에서 구하기 힘든 물품들을 찾아볼 수 있다는 점에서 사람들에게 유명한 곳이다. 남대문 시장과 가까운 위치에 있어 전통적인 재래시장과 현대적인 쇼핑몰의 장점을 동시에 즐길 수 있다. 헤아리기도 힘든 수많은 품목의 상품들을 판매하고 있으며 특히 카메라 부분에서는 쉽사리 구하기 힘든 부품들을 구해볼 수 있고 전국의 각종 특산물들도 찾아볼 수 있다.,점포별 상이함,점포별 상이함,,쇼핑
부르뎅 아동복 (Burdeng),서울특별시 중구 남대문시장8길 14,37.5599161253,126.9784156601,부르뎅 아동복 상가는 각종 성인의류 잡화 매장과 아동용품 전문매장으로 그중 아동용품전문상가로 유명하다. 우리나라 전국의 거의 모든 아동용품의 유통지이고 지방 소매상들의 새벽시장이다. 부르뎅 아동복은 아이들의 성장과 변화에 맞춰 다양한 사이즈와 스타일을 제공하며 다양하고 좋은 품질의 아동용품을 구입할 수 있는 곳이다. 유아용품부터 아동용품까지 각종 종류의 용품들을 도매 또는 소매로 구입할 수 있다.,주간 09:30~17:00 야간 22:00~05:00,주간 매주 일요일 야간 매주 금요일~토요일,,쇼핑
청자 수입상가,서울특별시 중구 남대문시장4길 29 (남창동),37.5588356763,126.9773491223,청자수입상가에서는 국내에서는 쉽게 볼 수 없는 국외의 주방용품들과 생활잡화 의류 잡화들을 판매하는 매장들로 구성되어 있다. 지하에서는 주방용품들과 여성 의류 액세서리 등을 만날 수 있고 1층에서는 아동복과 속옷 생활 잡화들을 쇼핑할 수 있다. 쇼핑 후 2층과 3층에 마련된 휴게실과 커피숍 등에서 쇼핑의 피로를 풀 수도 있고 도심 속에서 여유를 즐겨 볼 수도 있다.,점포별 상이함,점포별 상이함,구입방법안내:도 소매 구입가능 전화이용 택배구입 가능 직접 방문 구입 가능 장애인 편의시설:장애인 안내시설,쇼핑
퀸프라자,서울특별시 중구 남대문시장6길 29,37.5590467765,126.9781046023,퀸프라자는 모든 연령대의 남녀노소 누구나 취향에 맞는 의류를 구입하기 좋은 곳이다. 그리고 다양한 잡화들도 많이 있어 구경하는 재미가 있다. 수많은 매장들로 이루어져 있는 퀸프라자에는 가족단위로 쇼핑을 즐기는 관광객들이 많다. 더욱이 3층에 위치한 명품점에서는 각종 명품 의류와 액세서리 등을 만나 볼 수 있다.,점포별 상이,연중무휴,장애인 편의시설:장애인 안내시설 구입방법안내:도 소매 구입가능 전화이용 택배구입 가능 직접 방문 구입 가능,쇼핑
롯데백화점 본점,서울특별시 중구 남대문로 81,37.5647822864,126.9817485525,,10:30 20:00,명절,,쇼핑
서울공예사,서울특별시 종로구 인사동길 27 1 1층(인사동4거리),37.5731758308,126.9859645973,,10:00~20:00,명절,,쇼핑
자라 롯데 서울역점,서울특별시 용산구 청파로 378,37.5532806211,126.9692583497,,10:00 22:00,명절,: :,쇼핑
광장시장 한복매장,서울특별시 종로구 창경궁로 88 (예지동),37.5702347233,126.9980663554,광장시장의 한복매장은 전통 한복을 전문으로 취급하는 곳이다. 이곳은 다양한 디자인의 한복을 제공하여 고객의 취향에 맞는 선택을 가능하게 한다. 맞춤형 한복부터 트렌디한 생활 한복까지 다양한 디자인과 색상의 한복을 만나볼 수 있다. 품질 좋은 원단과 정성스러운 손길로 완성된 한복을 합리적인 가격에 제공한다. 또한 맞춤 제작 서비스도 있어 고객의 취향에 따라 개성을 담은 한복을 제작할 수 있다. 오랜 전통을 자랑하는 장인들의 기술과 개성이 살아 있는 디자인으로 외국인 관광객과 젊은 세대 모두에게 큰 인기를 끌고 있는 곳이다.,09:00~18:00 점포 별로 상이함,연중무휴 점포 별로 상이함,,쇼핑
노스비치 (North Beach),서울특별시 용산구 이태원로 171,37.5346221062,126.9931372569,1987년 이태원 매장 개점 후 가죽 브랜드로써는 처음으로 백화점 매장을 오픈했을 정도로 꾸준히 관심받고 있는 매장이다. 이미 여러 차례 외국인 전용매장으로 잡지나 방송매체에서 소개되었으며 이태원의 대표적인 가죽 상품 매장으로 손꼽히고 있다. 특히 여성 가죽 모피 제품이 각광받고 있다.,연중무휴,1층 여성 전용 가죽제품 2층 남성 의류,,쇼핑
맥스타일 (maxtyle),서울특별시 중구 마장로 3,37.5688045577,127.0105235943,맥스타일(maxtyle)은 과거 흥인·덕운 시장을 리모델링한 지하 7층 지상 8층 규모의 전문 패션몰이다. maxtyle은 ‘maximum style’의 줄임말로써 고객에게 최대의 패션 만족과 가치를 제공하고 패션과 문화를 창조하며 선도하는 감성 문화의 리더가 되는 복합적 문화공간을 의미한다. 청계천과 동대문디자인플라자&파크(DDP) 동대문 도매·소매시장이 교차하는 패션의 메카 동대문에 위치하고 있으며 총 10개 층의 판매시설은 의류 및 패션잡화 생활용품 등 각 층마다 각기 다른 콘셉트를 가진 10개의 쇼핑몰로 구성되어 있다. 주변에는 서울시의 랜드마크인 동대문디자인플라자&파크(DDP)와 청계천 등 휴식 역사 문화 쇼핑공간이 한데 어우러져 있다.,점포별 상이,점포별 상이,,쇼핑
